node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(García Márquez et al. 1999)_INCLUDE_NA_Predation in support_no_no,(García Márquez et al. 1999),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Shionosaki et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Shionosaki et al. 2015),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Bonnaud et al. 2007)_INCLUDE_NA_Predation in support_no_no,(Bonnaud et al. 2007),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Tranchant et al. 2003)_INCLUDE_NA_Predation in support_no_no,(Tranchant et al. 2003),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Barbraud et al. 2021)_INCLUDE_NA_Predation in support_no_no,(Barbraud et al. 2021),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Barbraud et al. 2021)_INCLUDE_NA_Population in support_no_no,(Barbraud et al. 2021),INCLUDE,"",Population in support,no,no,Population in support without data,Population in support without data,Population without data,Yes,Population in support without data
(Blanchard et al. 2024)_INCLUDE_NA_Population in support_yes_yes,(Blanchard et al. 2024),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Blanchard et al. 2024)_INCLUDE_NA_Predation in support_no_no,(Blanchard et al. 2024),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Hume 2017) core source_INCLUDE_NA_Predation in support_no_no,(Hume 2017) core source,INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Hume 2017) core source_INCLUDE_NA_Population in support_no_no,(Hume 2017) core source,INCLUDE,"",Population in support,no,no,Population in support without data,Population in support without data,Population without data,Yes,Population in support without data
(Newton & Fugler 1989)_EXCLUDE_NA_No claim_NA_NA,(Newton & Fugler 1989),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Azumi et al. 2021)_INCLUDE_NA_Predation in support_no_no,(Azumi et al. 2021),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Bonnaud et al. 2010b)_INCLUDE_NA_Population in support_yes_no,(Bonnaud et al. 2010b),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Bonnaud et al. 2009)_INCLUDE_NA_Predation in support_no_no,(Bonnaud et al. 2009),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Rayner et al. 2007)_INCLUDE_NA_Population not in support_yes_no,(Rayner et al. 2007),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Newton & Fugler 1989)_EXCLUDE_NA_Expert opinion_NA_NA,(Newton & Fugler 1989),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Oka 2019)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Oka 2019),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Oka et al. 2002)_INCLUDE_NA_Predation in support_no_no,(Oka et al. 2002),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Raine et al. 2020)_INCLUDE_NA_Predation in support_no_no,(Raine et al. 2020),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Shiozaki et al. 2014)_INCLUDE_NA_Predation in support_no_no,(Shiozaki et al. 2014),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Sanders & Maloney 2002)_INCLUDE_NA_Predation in support_no_no,(Sanders & Maloney 2002),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Jehl & Parkes 1982)_EXCLUDE_NA_No claim_NA_NA,(Jehl & Parkes 1982),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Oberle 2018)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Oberle 2018),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Raffaele et al. 1998)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Raffaele et al. 1998),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Konecny 1983)_EXCLUDE_NA_No claim_NA_NA,(Konecny 1983),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Laurie 1983)_INCLUDE_NA_Predation in support_no_no,(Laurie 1983),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Becke 1908)_EXCLUDE_NA_Expert opinion_NA_NA,(Becke 1908),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Bennett 1862)_EXCLUDE_Journal pre-1975_Failure to access or locate online full citation_NA_NA,(Bennett 1862),EXCLUDE,Journal pre-1975,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Bennett 1863)_EXCLUDE_Journal pre-1975_Failure to access or locate online full citation_NA_NA,(Bennett 1863),EXCLUDE,Journal pre-1975,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Bennett 1864)_EXCLUDE_Journal pre-1975_Failure to access or locate online full citation_NA_NA,(Bennett 1864),EXCLUDE,Journal pre-1975,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Dorner 1872)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Dorner 1872),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
(Ramsay 1864)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Ramsay 1864),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Whitmee 1874)_EXCLUDE_Journal pre-1975_Failure to access or locate online full citation_NA_NA,(Whitmee 1874),EXCLUDE,Journal pre-1975,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Whitmee 1875)_EXCLUDE_Journal pre-1975_Failure to access or locate online full citation_NA_NA,(Whitmee 1875),EXCLUDE,Journal pre-1975,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Williams 1863)_EXCLUDE_Journal pre-1975_Failure to access or locate online full citation_NA_NA,(Williams 1863),EXCLUDE,Journal pre-1975,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Gawlik & Bildstein 1990)_INCLUDE_NA_Population not in support_yes_no,(Gawlik & Bildstein 1990),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Luukkonen 1987)_EXCLUDE_NA_No claim_NA_NA,(Luukkonen 1987),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Tyler 1992)_EXCLUDE_NA_Expert opinion_NA_NA,(Tyler 1992),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Nilsson et al. 1994)_EXCLUDE_NA_Expert opinion_NA_NA,(Nilsson et al. 1994),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Copley 1999a)_INCLUDE_NA_Predation in support_no_no,(Copley 1999a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Coulter 1984)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Coulter 1984),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Coulter et al. 1981)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Coulter et al. 1981),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Daniel & Williams 1981)_INCLUDE_NA_Predation in support_no_no,(Daniel & Williams 1981),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
"(ODT 2001)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(ODT 2001),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
"(Mayston 2001)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Mayston 2001),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Davies et al. 2017)_INCLUDE_NA_Population in support_yes_yes,(Davies et al. 2017),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
"(Burbidge 2001)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Burbidge 2001),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Burbidge 2001)_EXCLUDE_NA_Missing reference_NA_NA,(Burbidge 2001),EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Burbidge & Manly 2002)_EXCLUDE_NA_Does not test claim_NA_NA,(Burbidge & Manly 2002),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Mount Buller and Mount Stirling Alpine Resort Management Board 2005)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Mount Buller and Mount Stirling Alpine Resort Management Board 2005),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Broome & Ford 2005)_EXCLUDE_NA_No claim_NA_NA,(Broome & Ford 2005),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Broome 1992)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Broome 1992),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Broome et al. 2012)_EXCLUDE_NA_Expert opinion_NA_NA,(Broome et al. 2012),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Heinze et al. 2004)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Heinze et al. 2004),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Mansergh 1991)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Mansergh 1991),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Mansergh & Broome 1994)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Mansergh & Broome 1994),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Mansergh 1988)_EXCLUDE_NA_Expert opinion_NA_NA,(Mansergh 1988),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(McDougall & Broome 2007)_EXCLUDE_NA_Expert opinion_NA_NA,(McDougall & Broome 2007),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(NSW National Parks and Wildlife Service 2002b)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(NSW National Parks and Wildlife Service 2002b),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Watson 2006)_EXCLUDE_Thesis_Failure to access or locate online full citation_NA_NA,(Watson 2006),EXCLUDE,Thesis,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Baynes 1979)_EXCLUDE_Thesis_Failure to access or locate online full citation_NA_NA,(Baynes 1979),EXCLUDE,Thesis,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Baynes 1990)_EXCLUDE_NA_No claim_NA_NA,(Baynes 1990),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Burbidge & McKenzie 1989)_EXCLUDE_NA_No claim_NA_NA,(Burbidge & McKenzie 1989),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Christensen & Burrows 1995)_INCLUDE_NA_Predation in support_no_no,(Christensen & Burrows 1995),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Christensen & Burrows 1995)_INCLUDE_NA_Predation not in support_no_no,(Christensen & Burrows 1995),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Copley 1994)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Copley 1994),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Ford 1979)_EXCLUDE_NA_No claim_NA_NA,(Ford 1979),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Friend 1990)_EXCLUDE_NA_Expert opinion_NA_NA,(Friend 1990),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Horsup & Evans 1993)_INCLUDE_NA_Predation in support_no_no,(Horsup & Evans 1993),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
NOTHING_EXCLUDE_NA_No citation given_NA_NA Burramys parvus,NOTHING NA Burramys parvus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Chaeropus ecaudatus,NOTHING NA Chaeropus ecaudatus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Conilurus albipes,NOTHING NA Conilurus albipes,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasyurus hallucatus,NOTHING NA Dasyurus hallucatus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasyurus viverrinus,NOTHING NA Dasyurus viverrinus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Lagostrophus fasciatus,NOTHING NA Lagostrophus fasciatus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Macrotis lagotis,NOTHING NA Macrotis lagotis,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesembriomys macrurus,NOTHING NA Mesembriomys macrurus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys aquilo,NOTHING NA Notomys aquilo,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys fuscus,NOTHING NA Notomys fuscus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Ornithorhynchus anatinus,NOTHING NA Ornithorhynchus anatinus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Perameles bougainville,NOTHING NA Perameles bougainville,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Petrogale penicillata,NOTHING NA Petrogale penicillata,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Potorous tridactylus,NOTHING NA Potorous tridactylus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudocheirus occidentalis,NOTHING NA Pseudocheirus occidentalis,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys fieldi,NOTHING NA Pseudomys fieldi,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys gouldii,NOTHING NA Pseudomys gouldii,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys oralis,NOTHING NA Pseudomys oralis,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys shortridgei,NOTHING NA Pseudomys shortridgei,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Sminthopsis butleri,NOTHING NA Sminthopsis butleri,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Sminthopsis douglasi,NOTHING NA Sminthopsis douglasi,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Sminthopsis psammophila,NOTHING NA Sminthopsis psammophila,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Xeromys myoides,NOTHING NA Xeromys myoides,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Zyzomys pedunculatus,NOTHING NA Zyzomys pedunculatus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
(Pearson 1992)_INCLUDE_NA_Predation not in support_no_no,(Pearson 1992),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Pye 1991)_EXCLUDE_NA_Expert opinion_NA_NA,(Pye 1991),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Robinson & Smyth 1976)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Robinson & Smyth 1976),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Robinson 1989)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Robinson 1989),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Serena et al. 1991)_EXCLUDE_NA_Expert opinion_NA_NA,(Serena et al. 1991),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Soderquist 1994)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Soderquist 1994),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Tidemann et al. 1994)_INCLUDE_NA_Predation in support_no_no,(Tidemann et al. 1994),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Burbidge & Johnson 1983)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Burbidge & Johnson 1983),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(McKenzie 1984)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(McKenzie 1984),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Serena et al. 1991)_EXCLUDE_NA_No claim_NA_NA,(Serena et al. 1991),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Wallach & Lundgren 2025)_INCLUDE_NA_Population not in support_yes_no,(Wallach & Lundgren 2025),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Augusteyn et al. 2022)_INCLUDE_NA_Predation in support_no_no,(Augusteyn et al. 2022),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Cowan et al. 2020)_INCLUDE_NA_Predation in support_no_no,(Cowan et al. 2020),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Fisher 1999)_INCLUDE_NA_Predation in support_no_no,(Fisher 1999),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Fisher et al. 2001)_INCLUDE_NA_Predation in support_no_no,(Fisher et al. 2001),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Friend & Thomas 1994)_INCLUDE_NA_Predation in support_no_no,(Friend & Thomas 1994),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Glen et al. 2010)_INCLUDE_NA_Predation in support_no_no,(Glen et al. 2010),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Hardman et al. 2016)_INCLUDE_NA_Predation in support_no_no,(Hardman et al. 2016),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Hayward et al. 2005)_INCLUDE_NA_Predation in support_no_no,(Hayward et al. 2005),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Kutt 2003)_INCLUDE_NA_Predation in support_no_no,(Kutt 2003),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Kutt 2011)_INCLUDE_NA_Predation in support_no_no,(Kutt 2011),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Kutt & Kitchener 2012)_INCLUDE_NA_Predation in support_no_no,(Kutt & Kitchener 2012),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Kutt & Kitchener 2012)_INCLUDE_NA_Predation not in support_no_no,(Kutt & Kitchener 2012),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Mahon 1999)_INCLUDE_NA_Predation in support_no_no,(Mahon 1999),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Marlow et al. 2015a)_INCLUDE_NA_Predation in support_no_no,(Marlow et al. 2015a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Mifsud & Woolley 2012)_INCLUDE_NA_Predation in support_no_no,(Mifsud & Woolley 2012),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moseby et al. 2018)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2018),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moseby et al. 2019)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2019),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moseby et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2015),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moyses et al. 2020)_INCLUDE_NA_Predation in support_no_no,(Moyses et al. 2020),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Murphy et al. 2019)_INCLUDE_NA_Predation in support_no_no,(Murphy et al. 2019),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Oakwood 2000)_INCLUDE_NA_Predation in support_no_no,(Oakwood 2000),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Paltridge 2002)_INCLUDE_NA_Predation in support_no_no,(Paltridge 2002),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Paltridge et al. 1997)_INCLUDE_NA_Predation in support_no_no,(Paltridge et al. 1997),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Paltridge 2005)_INCLUDE_NA_Predation in support_no_no,(Paltridge 2005),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Peacock & Abbott 2014)_INCLUDE_NA_Predation in support_no_no,(Peacock & Abbott 2014),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Pedler et al. 2016)_INCLUDE_NA_Population in support_yes_no,(Pedler et al. 2016),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Pollock 1999)_INCLUDE_NA_Predation in support_no_no,(Pollock 1999),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Soderquist & Serena 1994)_INCLUDE_NA_Predation in support_no_no,(Soderquist & Serena 1994),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Stokeld et al. 2018)_INCLUDE_NA_Predation in support_no_no,(Stokeld et al. 2018),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Vernes et al. 2021b)_INCLUDE_NA_Predation in support_no_no,(Vernes et al. 2021b),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
