internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
230025085,Otus bikegila,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Otus,bikegila,,,,,"Melo et al., 2022","This new species was described by Melo <em>et al.</em> (2022). It differs from congeners most conspicuously in its distinctive call, which is most similar to that of the widely allopatric <em>O. ireneae</em>. Monotypic."
22683499,Todiramphus gambieri,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Todiramphus,gambieri,,,,,"(Oustalet, 1895)",
232768492,Macrochelys suwanniensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELYDRIDAE,Macrochelys,suwanniensis,,,,,"Thomas, Granatosky, Bourque, Krysko, Moler, Gamble, Suarez, Leone, Enge &amp; Roman, 2014","Until 2014 the genus <em>Macrochelys</em> was considered to consist of a single, monotypic species, <em>M. temminckii</em>; however, Thomas <em>et al</em>. (2014) described the Suwannee Alligator Snapping Turtle (<em>M. suwanniensis</em>) as a distinct species based on genetic and morphological differences. This finding agrees with the distinct Suwannee genetic assemblage proposed by Roman <em>et al</em>. (1999) and Echelle <em>et al</em>. (2010). Thomas <em>et al</em>. (2014) found Roman’s eastern assemblage (Suwannee lineage) to be the most distinct both genetically and morphologically. Several other studies found <em>M. suwanniensis</em> to be a distinct species (Murray 2014, Folt and Guyer 2015), and it has been recognized by Crother (2017) and TTWG (2021)."
3329,Bunomys coelestis,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Bunomys,coelestis,,,,,"(O. Thomas, 1896)",
19347,Rattus mollicomulus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Rattus,mollicomulus,,,,,"Tate &amp; Archbold, 1935",The species is closely related to <em>Rattus hoffmanni</em>. Further taxonomic research is needed as there is some uncertainty surrounding its status.
22689809,Antrostomus noctitherus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Antrostomus,noctitherus,,,,,"(Wetmore, 1919)",<em>Antrostomus   noctitherus</em> (del Hoyo and Collar 2014) was previously placed in the genus   <em>Caprimulgus</em>.
22693570,Pluvianellus socialis,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,PLUVIANELLIDAE,Pluvianellus,socialis,,,,,"Gray, 1846",
230027154,Charadrius mongolus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,mongolus,,,,,"Pallas, 1776","<em>Charadrius mongolus</em> and <em>C. atrifrons</em> were previously lumped as <em>C. mongolus</em> (Handbook of the Birds of the World and BirdLife International 2022); see under <em>C. atrifrons</em>. Subspecies name <em>stegmanni</em> is a replacement for <em>litoralis</em>, latter name being invalid, as preoccupied. Two subspecies recognised."
87736236,Pristimantis nubisilva,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,STRABOMANTIDAE,Pristimantis,nubisilva,,,,,"Kaiser, Barrio-Amorós, Rivas-Fuenmayor, Steinlein &amp; Schmid, 2015","In the <em>Pristimantis unistrigatus</em> group according to the original description (Kaiser <em>et al</em>. 2015). The karyotype of <em>Pristimantis nubisilva</em> consisting of 36 exclusively telocentric chromosomes (2n = 36, FN = 36), is considered to represent the ancestral condition in the taxon <em>Terrarana</em> (Schmid <em>et al.</em> 2010)."
76317613,Oreophryne ezra,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Oreophryne,ezra,,,,,"Kraus & Allison, 2009",
193422404,Blommersia nataliae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Blommersia,nataliae,,,,,"Vieites, Nieto-Roman, Fernández &amp; Santos-Santos, 2020","Prior to the description of this species by Vieites <em>et al</em>. in 2020, only one species of <em>Blommersia</em>, <em>B. transmarina</em>, was known from Mayotte (Glaw <em>et al</em>. 2019). Some of the records assigned to <em>B. transmarina</em> could, in truth, represent the newly described <em>B. nataliae</em>."
22708835,Turdus ravidus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,ravidus,,,,,"(Cory, 1886)",
22698593,Traversia lyalli,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACANTHISITTIDAE,Traversia,lyalli,,,,,"(Rothschild, 1894)",
22708583,Myadestes palmeri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Myadestes,palmeri,,,,,"(Rothschild, 1893)",
22702156,Aphrastura masafuerae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Aphrastura,masafuerae,,,,,"(Philippi &amp; Landbeck, 1866)","<em>Aphrastura&#160;</em><em>masafuerae </em>(Handbook of the Birds of the World and BirdLife International 2021) was previously listed as <em>Aphrastura </em><em>masafucrae</em>&#160;(del Hoyo and Collar 2016). The latter spelling was subject to a later attempt to correct the name by the author of the type description, and has been recognised as an accidental error: the type description had intended to use the name of the island on which the species occurs in the original description."
